"Etunimi","Sukupuoli"
"A","mies"
"A","nainen"
"A.","mies"
"A.","nainen"
"Aabel","mies"
"Aabraham","mies"
"Aabram","mies"
"Aabrami","mies"
"Aada","nainen"
"Aada-Amanda","nainen"
"Aada-Emilia","nainen"
"Aada-Lotta","nainen"
"Aada-Mari","nainen"
"Aada-Maria","nainen"
"Aada-Olivia","nainen"
"Aada-Sofia","nainen"
"Aadaliina","nainen"
"Aadalmiina","nainen"
"Aadam","mies"
"Aadan","mies"
"Aadan","nainen"
"Aadel","mies"
"Aaden","mies"
"Aadi","mies"
"Aadiel","mies"
"Aadil","mies"
"Aadit","mies"
"Aadolf","mies"
"Aadolfiina","nainen"
"Aage","mies"
"Aagot","nainen"
"Aahil","mies"
"Aaisha","nainen"
"Aake","mies"
"Aakke","mies"
"Aaku","mies"
"Aakusti","mies"
"Aala","nainen"
"Aale","mies"
"Aale","nainen"
"Aali","mies"
"Aali","nainen"
"Aalia","nainen"
"Aaliya","nainen"
"Aaliyah","nainen"
"Aallos","mies"
"Aallotar","nainen"
"Aalo","mies"
"Aalo","nainen"
"Aalto","mies"
"Aalto","nainen"
"Aamer","mies"
"Aami","nainen"
"Aamina","nainen"
"Aamir","mies"
"Aamo","mies"
"Aamon","mies"
"Aamos","mies"
"Aamos","nainen"
"Aamu","mies"
"Aamu","nainen"
"Aamu-Ilona","nainen"
"Aamu-Tuuli","nainen"
"Aamunvalo","mies"
"Aamurusko","nainen"
"Aamutähti","nainen"
"Aana","nainen"
"Aanon","mies"
"Aapa","mies"
"Aape","mies"
"Aapel","mies"
"Aapeli","mies"
"Aapi","mies"
"Aapo","mies"
"Aapo-Eemeli","mies"
"Aapo-Matti","mies"
"Aaponpoika","mies"
"Aappi","mies"
"Aappo","mies"
"Aapraham","mies"
"Aapram","mies"
"Aaprami","mies"
"Aapro","mies"
"Aara","nainen"
"Aarav","mies"
"Aare","mies"
"Aares","mies"
"Aaret","mies"
"Aaretti","mies"
"Aari","mies"
"Aaria","nainen"
"Aarika","nainen"
"Aarikka","nainen"
"Aario","mies"
"Aariz","mies"
"Aarla","nainen"
"Aarna","nainen"
"Aarne","mies"
"Aarnenpoika","mies"
"Aarni","mies"
"Aarni","nainen"
"Aarnio","mies"
"Aarno","mies"
"Aarnonpoika","mies"
"Aaro","mies"
"Aaro","nainen"
"Aaro-Matti","mies"
"Aarohi","nainen"
"Aaron","mies"
"Aaron","nainen"
"Aarón","mies"
"Aaroni","mies"
"Aaronpoika","mies"
"Aarre","mies"
"Aarre","nainen"
"Aarret","mies"
"Aarretti","mies"
"Aarto","mies"
"Aarush","mies"
"Aarya","nainen"
"Aasa","nainen"
"Aasha","nainen"
"Aasia","nainen"
"Aasiya","nainen"
"Aata","nainen"
"Aatami","mies"
"Aate","mies"
"Aati","mies"
"Aato","mies"
"Aatos","mies"
"Aatovi","mies"
"Aatte","mies"
"Aatto","mies"
"Aattu","mies"
"Aatu","mies"
"Aatu-Eemeli","mies"
"Aatu-Oskari","mies"
"Aava","nainen"
"Aava-Maria","nainen"
